municipio,ano,num_cons_residencial,kWh_residencial,num_cons_comercial,kWh_comercial,num_cons_rural,kWh_rural,num_cons_industrial,kWh_industrial,num_cons_iluminacao_publica,kWh_iluminacao_publica,num_cons_poder_publico,kWh_poder_publico,num_cons_servico_publico,kWh_servico_publico,num_cons_consumo_proprio,kWh_consumo_proprio,num_cons_total,kWh_total
Araçariguama,2022,8948,20227795,335,19307092,29,194508,93,499083943,11,1980065,88,1641736,15,1951582,3,41939,9522,544428660
Araçoiaba da Serra,2022,21491,48525902,545,11114903,344,5189640,46,7960914,18,4463218,118,997021,28,4612077,1,5898,22591,82869573
Boituva,2022,30978,73947365,939,21099630,364,27110855,179,143640827,51,6044019,179,1833645,21,5288735,6,99272,32717,279064348
Capela do Alto,2022,9491,18051522,231,2616365,223,6659507,29,3297916,20,2092613,69,2180714,24,2060478,0,0,10087,36959115
Cerquilho,2022,18295,37956600,1543,16233617,501,4607320,271,109282784,35,4937951,125,1752596,16,4351408,1,46600,20787,179168877
Cesário Lange,2022,7087,12598269,699,16068798,915,7137804,72,17955355,15,1385747,91,835858,30,3088879,1,61600,8890,59132311
Ibiúna,2022,18490,40913284,935,18571220,429,8252146,48,33000500,7,2724518,101,1465558,24,182285009,3,52298,20037,287264533
Iperó,2022,11885,25437836,242,8075781,151,1633337,68,34253361,5,2045485,136,14312987,34,3147860,0,0,12521,88906647
Itapetininga,2022,64322,131574092,2803,52071233,1591,27112090,197,314371340,2,9366085,405,7016886,71,17789976,11,157593,69402,559459295
Itu,2022,70486,193718633,3603,109880437,314,15475532,366,280787815,101,11551786,406,8097382,94,12088997,4,216220,75374,631816802
Jumirim,2022,1091,2096062,68,565044,226,4709887,31,17794511,7,278023,29,354201,8,351365,0,0,1460,26149094
Mairinque,2022,20625,46731872,537,8608785,88,1112406,65,76281114,8,3871604,108,1182918,37,3622508,1,33407,21469,141444614
Piedade,2022,19367,32870369,1792,13832065,5366,31020970,99,6938264,16,2087681,166,1258772,36,4192065,2,91271,26844,92291456
